dataset,image,snr_db,speed_kmh,channel_seed,h1_real,h1_imag,h2_real,h2_imag,method,nack,scale_bits,payload_uses,total_uses,mse,psnr,ms_ssim,lpips,outage
kodak,01.png,0.0,30.0,2897754727,-0.1569633185863495,-1.2293363809585571,-0.05345393717288971,-0.8086279630661011,SwinJSCC_author_one_shot,0,16,4096,4130,0.010768535546958447,19.678433540018563,0.7265771627426147,0.4262978434562683,1
kodak,01.png,0.0,30.0,2897754727,-0.1569633185863495,-1.2293363809585571,-0.05345393717288971,-0.8086279630661011,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.007224038243293762,21.4121996357945,0.8181838393211365,0.33142992854118347,1
kodak,01.png,0.0,30.0,2897754727,-0.1569633185863495,-1.2293363809585571,-0.05345393717288971,-0.8086279630661011,same_codec_direct,0,4096,4096,12290,0.011080540716648102,19.554390460582447,0.7127127647399902,0.6527458429336548,1
kodak,01.png,0.0,30.0,2897754727,-0.1569633185863495,-1.2293363809585571,-0.05345393717288971,-0.8086279630661011,same_codec_full_HARQ,1,4096,8192,16388,0.010733815841376781,19.692458601166145,0.733036994934082,0.6369400024414062,1
kodak,01.png,0.0,30.0,2897754727,-0.1569633185863495,-1.2293363809585571,-0.05345393717288971,-0.8086279630661011,adaptive_HARQ,1,4096,8192,16388,0.010733815841376781,19.692458601166145,0.733036994934082,0.6369400024414062,1
kodak,01.png,0.0,30.0,2897754727,-0.1569633185863495,-1.2293363809585571,-0.05345393717288971,-0.8086279630661011,FlowHARQ,1,4096,8192,16388,0.010733815841376781,19.692458601166145,0.733036994934082,0.6369400024414062,1
kodak,01.png,0.0,60.0,3405162411,0.588382363319397,-0.39539530873298645,0.3688405752182007,-0.3106936514377594,SwinJSCC_author_one_shot,0,16,4096,4130,0.04018031805753708,13.95986629805625,0.4187051057815552,0.7271653413772583,1
kodak,01.png,0.0,60.0,3405162411,0.588382363319397,-0.39539530873298645,0.3688405752182007,-0.3106936514377594,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.026783566921949387,15.721315859735805,0.5290704965591431,0.7076308727264404,1
kodak,01.png,0.0,60.0,3405162411,0.588382363319397,-0.39539530873298645,0.3688405752182007,-0.3106936514377594,same_codec_direct,0,4096,4096,12290,0.013282614760100842,18.767164231529712,0.6129072308540344,0.7102950811386108,1
kodak,01.png,0.0,60.0,3405162411,0.588382363319397,-0.39539530873298645,0.3688405752182007,-0.3106936514377594,same_codec_full_HARQ,1,4096,8192,16388,0.01239098235964775,19.068942613025463,0.6541657447814941,0.6745115518569946,1
